PUBLISHER_NAME,error,results_manual,PUBLISHER_MODE,PUBLISHER_URL,PUBLISHER_PAGES,PUBLISHER_PAGES_NR,PUBLISHER_RESULTS_NODE,PUBLISHER_RESULTS_REGEX,PUBLISHER_RESULTS_ADDCODE_YESNO,PUBLISHER_RESULTS_ADDITIONAL_CODE,PUBLISHER_RESULTS_PER_PAGE,PUBLISHER_PAGE_URL_BEFORE,PUBLISHER_PAGE_URL_AFTER,PUBLISHER_PAGE_I,JOURNALNAME_CSS,JOURNALNAMES_ADDCODE_YESNO,JOURNALNAMES_ADDITIONAL_CODE,JOURNAL_URL_NODES,JOURNALURL_ADDCODE_YESNO,JOURNALURL_ADDITIONAL_CODE,JOURNALURL_PASTE,COMMENT,OTHER
Aalborg Universitetsforlag,??? No central page,,,,,,,,,,,,,,,,,,,,,,
ABA,,,{STH MISSING HERE},,,,,,,,,,,,,,,,,,,[too heterogenenous to scrape],
Academic and Business Research Institute,,10,,https://www.aabri.com/journals.html,,,,,,,,,,,table a strong,,,,,,,,
Academic Journals,,,rvest,https://academicjournals.org/journal,single,single,,,0,,,,,,div.col-lg-12 h5 a,0,,div.col-lg-12 h5 a,0,,https://academicjournals.org,fine,
Academic Publishing House Researcher,,,rvest,http://aphrsro.net/info/journals.html,single,single,,,0,,,,,,#zebras > tbody > tr > td > a,0,,#zebras > tbody > tr > td > a,0,,,fine,
ACM,,,RSelenium,https://dl.acm.org/journals,single,single,,,0,,,,,,h4 > a > .browse-title,0,,h4 > a,0,,https://dl.acm.org,fine,
ACS,,,{STH MISSING HERE},,,,,,,,,,,,,,,,,,,,
Acta Medica Belgica,??? Not a publisher,,,,,,,,,,,,,,,,,,,,,,
Acta Scientific,,51,,https://actascientific.com/journals.php,,,,,,,,,,,div.text1 h4,,,,,,,,
Adam Mickiewicz University,,86,,https://pressto.amu.edu.pl/index.php,,,,,,,,,,,ul.media-list li.media h3,,,,,,,,
Advanced Research Publications,,135,rvest,https://www.advancedresearchpublications.com/adr-shop,single,,,,,,,,,,div.col-md-8 li > a,,,div.col-md-8 li > a,,,,,
Advanstar Communications Inc.,??? 404,,,,,,,,,,,,,,,,,,,,,,
AIMS Press,,28,rvest,https://www.aimspress.com/,single,single,,,,,,,,,li.ng-scope a.ng-scope,,,,,,,,
AIRCC Publishing Corporation,,69,rvest,https://airccse.org/journal.html,single,single,,,0,,,,,,form.register > select > option,0,,form.register > select > option,0,,,,
Akademiai Kiado,,,rvest,https://akademiai.hu/9/journals/,single,single,,,0,,,,,,li.last > h4 > a,0,,li.last > h4 > a,0,,,fine,
Akademie Ved Ceske Republiky,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Al-Kindi Center for Research and Development,,32,rvest,https://al-kindipublisher.com/,single,single,,,0,,,,,,div.body h3 a,0,,div.body h3 a,0,,,,
Allameh Tabataba'i University Press,??? No central page,0,,https://atu.ac.ir/en/page/8531/journals,,,,,,,,,,,,,,,,,,,
Allerton Press,,,rvest,https://www.pleiades.online/en/journals/catalog/publisher/3/,single,single,,,0,,,,,,div.book_item_text > h3,0,,div.book_item_link > div:nth-child(1) > a,0,,https://www.pleiades.online,fine,
Allied Academies,,,rvest,https://www.alliedacademies.org/journals-by-title.php,single,single,,,0,,,,,,main .nav > a.nav-link,0,,main .nav > a.nav-link,0,,,fine,
Alma Mater Studiorum Universit<e0> di Bologna,,,rvest,https://journals.unibo.it/,single,single,,,0,,,,,,div.body > h3 > a,0,,div.body > h3 > a,0,,,fine,
Alzahra University,??? No central page,,,,,,,,,,,,,,,,,,,,,,
AME Publishing Company,,,rvest,https://www.amegroups.cn/app/sciJournals-en-US,single,single,,,0,,,,,,div.jss11 > i > a,0,,div.jss11 > i > a,0,,,fine,
