StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID291,Q1. True or False,Q2. True or False,Q3. Easy MC,Q4. Easy MC,Q5. Hard MC,Q6. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q7. True or False,Q8. True or False,Q9. Easy MC,Q10. Easy MC,Q11. Hard MC,Q12. Hard MC,Q13. True or False,Q14. True or False,Q15. Easy MC,Q16. Easy MC,Q17. Hard MC,Q18. Hard MC,Timer_First Click.1,Timer_Last Click.1,Timer_Page Submit.1,Timer_Click Count.1,Q19. True or False,Q20. True or False,Q21. Easy MC,Q22. Easy MC,Q23. Hard MC,Q24. Hard MC,Q25. True or False,Q26. True or False,Q27. Easy MC,Q28. Easy MC,Q29. Hard MC,Q30. Hard MC,Timer_First Click.2,Timer_Last Click.2,Timer_Page Submit.2,Timer_Click Count.2,Q31. True or False,Q32. True or False,Q33. Easy MC,Q34. Easy MC,Q35. Hard MC,Q36. Hard MC,Q37. True or False,Q38. True or False,Q39. Easy MC,Q40. Easy MC,Q41. Hard MC,Q42. Hard MC,Timer_First Click.3,Timer_Last Click.3,Timer_Page Submit.3,Timer_Click Count.3,Q43. True or False,Q44. True or False,Q45. Easy MC,Q46. Easy MC,Q47. Hard MC,Q48. Hard MC,Q49. True or False,Q50. True or False,Q51. Easy MC,Q52. Easy MC,Q53. Hard MC,Q54. Hard MC,Timer_First Click.4,Timer_Last Click.4,Timer_Page Submit.4,Timer_Click Count.4,Q55. True or False,Q56. True or False,Q57. Easy MC,Q58. Easy MC,Q59. Hard MC,Q60. Hard MC,Q61. True or False,Q62. True or False,Q63. Easy MC,Q64. Easy MC,Q65. Hard MC,Q66. Hard MC,Timer_First Click.5,Timer_Last Click.5,Timer_Page Submit.5,Timer_Click Count.5,Q67. True or False,Q68. True or False,Q69. Easy MC,Q70. Easy MC,Q71. Hard Mc,Q72. Hard MC,Q73. True or False,Q74. True or False,Q75. Easy MC,Q76. Easy MC,Q77. Hard MC,Q78. Hard MC,Timer_First Click.6,Timer_Last Click.6,Timer_Page Submit.6,Timer_Click Count.6,Q79. True or False,Q80. True or False,Q81. Easy MC,Q82. Easy MC,Q83. Hard MC,Q84. Hard MC,Q85. True or False,Q86. True or False,Q87. Easy MC,Q88. Easy MC,Q89. Hard MC,Q90. Hard MC,Timer_First Click.7,Timer_Last Click.7,Timer_Page Submit.7,Timer_Click Count.7,Q91. True or False,Q92. True or False,Q93. Easy MC,Q94. Easy MC,Q95. Hard MC,Q96. Hard MC,Q97. True or False,Q98. True or False,Q99. Easy MC,Q100. Easy MC,Q101. Hard MC,Q102. Hard MC,Timer_First Click.8,Timer_Last Click.8,Timer_Page Submit.8,Timer_Click Count.8,Q103. True or False,Q104. True or False,Q105. Easy MC,Q106. Easy MC,Q107. Hard MC,Q108. Hard MC,Q109. True or False,Q110. True or False,Q111. Easy MC,Q112. Easy MC,Q113. Hard MC,Q114. Hard MC,Timer_First Click.9,Timer_Last Click.9,Timer_Page Submit.9,Timer_Click Count.9,Q115. True or False,Q116. True or False,Q117. Easy MC,Q118. Easy MC,Q119. Hard MC,Q120. Hard MC,SC0,SC1,participant_id,doc_type,file_stem
2025-09-03 08:48:16,2025-09-03 10:34:51,0,128.82.4.174,100,6394,1,2025-09-03 10:34:51,R_5rJhXvno2I6CXiH,,,,,36.8592,-76.2729,anonymous,EN,3,3,3,5,5,6,6,0.0,0.0,234.671,0,2,1,4,1,3,2,4,4,6,5,6,6,0.0,0.0,280.5,0,2,1,2,5,6,1,1,3,2,2,5,5,0.0,0.0,326.387,0,1,1,2,2,1,2,3,3,5,5,5,5,0.0,0.0,289.323,0,1,1,2,3,4,2,1,3,5,7,5,5,0.0,0.0,357.741,0,1,2,2,4,5,5,3,3,5,5,5,5,0,0,215.739,0,1,1,2,2,1,1,1,2,5,3,5,4,0.0,0.0,380.658,0,1,1,1,3,2,2,1,1,5,5,2,1,0.0,0.0,288.929,0,1,1,5,2,2,1,3,3,2,5,5,5,0.0,0.0,367.238,0,1,3,2,2,2,4,3,3,5,1,5,6,0.0,0.0,393.726,0,1,1,2,2,2,1,19,90,3,News,a1
2025-09-10 08:56:30,2025-09-10 09:53:57,0,128.82.4.173,100,3447,1,2025-09-10 09:53:57,R_7eCAJOYfS994AFn,,,,,36.8592,-76.2729,anonymous,EN,1,2,2,2,1,2,2,0.0,0.0,273.991,0,2,1,2,1,2,2,4,4,6,5,6,6,0.0,0.0,230.2,0,2,1,2,5,2,1,1,1,1,4,3,3,0.0,0.0,207.133,0,1,1,2,2,3,2,2,1,1,1,2,2,0.0,0.0,169.482,0,1,2,2,1,2,2,2,1,5,1,5,5,208.052,208.052,259.198,1,1,2,2,1,4,3,3,3,5,5,5,5,0,0,113.544,0,1,2,2,1,3,4,3,2,4,1,3,4,0.0,0.0,222.086,0,1,1,2,3,3,2,1,2,3,4,5,5,0.0,0.0,56.203,0,1,1,3,1,2,3,2,1,5,2,5,5,0.0,0.0,85.118,0,1,1,1,1,2,4,3,3,5,5,5,6,0.0,0.0,59.353,0,1,1,4,2,2,2,22,65,1,News,a1
2025-09-15 13:03:38,2025-09-15 13:45:41,0,98.244.85.162,100,2522,1,2025-09-15 13:45:41,R_1Do7fZSl71yWh7k,,,,,38.0936,-78.5623,anonymous,EN,2,1,1,1,2,2,2,0.0,0.0,58.724,0,1,1,4,3,6,2,2,1,2,1,2,1,0.0,0.0,51.915,0,2,1,2,1,2,1,1,3,5,4,3,2,0.0,0.0,68.299,0,1,1,2,2,1,2,1,1,2,3,2,2,0.0,0.0,72.592,0,1,1,2,3,2,2,1,3,4,4,5,2,0.0,0.0,67.752,0,1,1,2,4,2,2,1,1,3,2,3,3,0,0,78.93,0,2,2,2,2,1,3,1,2,4,3,2,4,0.0,0.0,130.533,0,1,1,4,3,3,4,2,1,2,1,1,1,0.0,0.0,102.002,0,2,2,1,4,2,4,1,1,2,4,1,1,0.0,0.0,111.835,0,2,2,4,2,2,1,1,1,5,2,2,2,0.0,0.0,66.598,0,1,1,2,2,2,1,71,87,2,News,a1
2025-09-17 12:26:09,2025-09-17 13:31:50,0,128.82.4.174,100,3940,1,2025-09-17 13:31:50,R_3PcUVZanAFy7DAn,,,,,36.8882,-76.3002,anonymous,EN,4,3,3,5,5,6,6,97.362,99.226,100.5,4,2,1,2,1,6,2,4,1,6,5,6,6,81.538,82.242,99.111,2,2,1,2,2,2,1,3,3,5,5,5,5,61.218,61.786,97.084,2,1,1,2,2,1,2,3,3,5,5,5,5,98.72,99.216,126.29,2,1,1,2,5,4,2,3,3,5,7,5,5,67.748,85.667,86.518,6,1,1,2,4,5,2,3,3,5,5,5,5,0,0,48.264,0,2,1,2,2,1,1,3,2,3,5,5,5,0.0,0.0,105.215,0,1,4,5,3,2,2,3,3,5,5,5,5,0.0,0.0,92.383,0,1,1,2,2,2,1,3,3,5,5,5,5,122.035,122.035,125.66,1,2,2,2,2,2,5,3,3,5,5,5,6,0.0,0.0,76.935,0,1,1,2,2,2,1,3,99,4,News,a1
2025-09-24 07:44:22,2025-09-24 09:16:26,0,128.82.4.174,100,5523,1,2025-09-24 09:16:27,R_5l4wllJArMd9rD1,,,,,36.8882,-76.3002,anonymous,EN,11,1,3,2,5,6,6,0.0,0.0,120.438,0,2,1,2,1,2,2,4,1,2,5,6,6,0.0,0.0,151.761,0,2,1,2,1,2,1,3,3,5,3,5,5,0.0,0.0,274.603,0,1,1,2,2,1,2,1,3,5,5,5,5,0.0,0.0,227.836,0,1,1,2,3,4,2,1,3,4,7,5,5,0.0,0.0,180.447,0,1,1,2,4,3,2,3,3,5,5,5,5,0,0,130.263,0,1,1,2,2,1,1,3,2,4,3,5,5,0.0,0.0,312.088,0,1,1,5,3,2,4,1,3,5,5,5,5,139.765,139.765,176.359,1,1,1,2,2,2,1,3,3,5,5,5,5,0.0,0.0,219.443,0,1,1,2,2,4,1,3,3,5,1,5,6,0.0,0.0,93.684,0,1,1,2,2,2,1,10,101,11,News,a1
2025-09-26 07:49:14,2025-09-26 08:54:27,0,128.82.4.173,100,3912,1,2025-09-26 08:54:27,R_1z7krYdLrnzdUz0,,,,,36.8882,-76.3002,anonymous,EN,7,1,1,4,5,6,2,19.921,29.497,143.781,7,2,1,2,1,1,2,4,4,6,5,6,6,4.502,156.479,173.688,23,1,1,2,2,2,1,1,3,5,5,5,5,60.064,90.208,166.805,8,2,1,2,2,5,5,1,1,5,5,5,5,0.0,0.0,176.685,0,1,1,4,3,5,1,3,3,5,7,5,5,0.0,0.0,142.52,0,1,2,2,4,2,3,1,1,5,5,5,5,0,0,115.886,0,2,1,2,2,1,5,3,2,4,5,5,5,175.778,175.778,191.016,1,1,2,2,3,4,5,3,3,5,5,5,5,53.183,100.536,181.985,4,1,2,3,2,2,2,3,3,5,5,5,5,213.741,213.741,214.047,1,1,2,2,2,4,5,3,3,5,5,5,6,36.671,168.441,168.995,12,1,1,1,5,2,1,8,65,7,News,a1
2025-10-09 08:19:28,2025-10-09 09:26:34,0,24.254.215.12,100,4025,1,2025-10-09 09:26:34,R_7IjV61SYQCLgkPT,,,,,36.7969,-76.1797,anonymous,EN,5,1,1,5,5,6,2,0.0,0.0,258.628,0,1,1,2,1,1,2,4,1,6,5,6,6,0.0,0.0,198.483,0,2,1,2,1,2,1,3,3,5,5,5,5,0.0,0.0,212.075,0,1,1,2,5,5,2,3,3,5,3,5,5,0.0,0.0,246.021,0,1,1,2,3,5,1,3,3,5,7,5,5,0.0,0.0,201.887,0,1,1,2,7,5,5,3,3,5,5,5,5,0,0,120.785,0,2,1,2,2,1,1,3,2,1,5,5,5,0.0,0.0,399.001,0,2,2,1,3,2,2,3,3,5,5,5,5,0.0,0.0,255.515,0,3,3,5,2,5,5,3,3,5,5,5,5,0.0,0.0,228.224,0,1,3,5,2,5,5,3,3,5,5,5,6,0.0,0.0,187.063,0,1,1,2,5,2,6,7,69,5,News,a1
2025-10-17 07:29:52,2025-10-17 09:03:40,0,128.82.4.173,100,5627,1,2025-10-17 09:03:41,R_3lgcREurzXVQTzi,,,,,36.8882,-76.3002,anonymous,EN,30,1,3,5,5,6,2,23.855,219.175,219.898,2,2,1,2,1,1,2,2,1,2,5,2,6,0.0,0.0,91.939,0,2,1,2,1,2,1,1,1,5,5,5,2,0.0,0.0,217.523,0,1,1,2,2,1,2,1,3,2,5,5,2,0.0,0.0,212.601,0,1,1,2,3,2,2,1,3,5,4,5,5,0.0,0.0,174.663,0,1,1,2,4,2,2,2,3,5,5,5,5,0,0,113.625,0,2,1,2,2,1,1,3,1,6,3,2,4,0.0,0.0,226.335,0,1,1,6,3,2,2,3,3,5,5,5,2,0.0,0.0,181.824,0,1,1,1,2,2,1,3,3,5,5,5,5,0.0,0.0,269.181,0,1,1,2,2,2,4,1,1,5,5,5,6,0.0,0.0,146.765,0,1,1,2,2,2,1,32,106,30,News,a1
2025-10-31 07:14:41,2025-10-31 08:58:44,0,128.82.4.174,100,6243,1,2025-10-31 08:58:44,R_30QMIrCY1ZsDoVX,,,,,36.8882,-76.3002,anonymous,EN,25,1,1,3,3,2,2,216.289,216.289,218.187,1,2,1,2,1,1,2,1,1,2,2,2,1,0.0,0.0,178.421,0,2,1,2,1,2,1,1,1,3,1,3,2,0.0,0.0,194.734,0,1,1,2,2,1,2,1,1,2,3,2,2,154.432,154.432,155.201,1,1,1,2,3,2,2,1,2,2,4,3,2,200.937,200.937,201.466,1,1,2,2,4,2,2,1,2,2,3,3,1,0,0,111.3,0,2,1,2,2,1,1,1,1,2,3,2,1,0.0,0.0,239.267,0,1,1,1,3,2,4,1,1,2,3,4,4,0.0,0.0,183.894,0,1,1,2,2,2,1,1,1,2,2,1,5,0.0,0.0,238.651,0,2,2,2,2,2,1,1,1,3,2,2,2,0.0,0.0,134.15,0,1,1,2,2,2,1,68,109,25,News,a1
2025-11-19 07:30:41,2025-11-19 09:24:04,0,128.82.4.173,100,6803,1,2025-11-19 09:24:05,R_3fqxXpbLWrybjY8,,,,,36.8882,-76.3002,anonymous,EN,13,2,1,5,5,6,6,0.0,0.0,575.291,0,2,1,2,5,6,2,4,1,2,5,6,6,35.138,175.48,369.917,7,2,1,2,1,2,6,3,3,5,5,5,5,0.0,0.0,410.729,0,1,1,2,3,5,5,1,3,5,5,5,5,0.0,0.0,296.139,0,1,1,2,3,5,2,3,3,5,1,5,5,0.0,0.0,349.115,0,1,1,1,1,5,5,3,3,5,5,5,5,0,0,292.491,0,1,1,2,5,2,3,3,2,6,5,5,5,479.637,479.637,480.127,1,1,1,6,3,3,2,3,3,5,5,5,5,0.0,0.0,303.019,0,1,1,1,2,2,5,3,3,5,5,5,5,0.0,0.0,335.442,0,1,2,2,5,5,5,3,3,5,5,5,6,0.0,0.0,315.457,0,1,1,2,2,5,6,6,57,13,News,a1
