StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID291,Q1. True or False,Q2. True or False,Q3. Easy MC,Q4. Easy MC,Q5. Hard MC,Q6. Hard MC,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Q7. True or False,Q8. True or False,Q9. Easy MC,Q10. Easy MC,Q11. Hard MC,Q12. Hard MC,Q13. True or False,Q14. True or False,Q15. Easy MC,Q16. Easy MC,Q17. Hard MC,Q18. Hard MC,Timer_First Click.1,Timer_Last Click.1,Timer_Page Submit.1,Timer_Click Count.1,Q19. True or False,Q20. True or False,Q21. Easy MC,Q22. Easy MC,Q23. Hard MC,Q24. Hard MC,Q25. True or False,Q26. True or False,Q27. Easy MC,Q28. Easy MC,Q29. Hard MC,Q30. Hard MC,Timer_First Click.2,Timer_Last Click.2,Timer_Page Submit.2,Timer_Click Count.2,Q31. True or False,Q32. True or False,Q33. Easy MC,Q34. Easy MC,Q35. Hard MC,Q36. Hard MC,Q37. True or False,Q38. True or False,Q39. Easy MC,Q40. Easy MC,Q41. Hard MC,Q42. Hard MC,Timer_First Click.3,Timer_Last Click.3,Timer_Page Submit.3,Timer_Click Count.3,Q43. True or False,Q44. True or False,Q45. Easy MC,Q46. Easy MC,Q47. Hard MC,Q48. Hard MC,Q49. True or False,Q50. True or False,Q51. Easy MC,Q52. Easy MC,Q53. Hard MC,Q54. Hard MC,Timer_First Click.4,Timer_Last Click.4,Timer_Page Submit.4,Timer_Click Count.4,Q55. True or False,Q56. True or False,Q57. Easy MC,Q58. Easy MC,Q59. Hard MC,Q60. Hard MC,Q61. True or False,Q62. True or False,Q63. Easy MC,Q64. Easy MC,Q65. Hard MC,Q66. Hard MC,Timer_First Click.5,Timer_Last Click.5,Timer_Page Submit.5,Timer_Click Count.5,Q67. True or False,Q68. True or False,Q69. Easy MC,Q70. Easy MC,Q71. Hard MC,Q72. Hard MC,Q73. True or False,Q74. True or False,Q75. Easy MC,Q76. Easy MC,Q77. Hard MC,Q78. Hard MC,Timer_First Click.6,Timer_Last Click.6,Timer_Page Submit.6,Timer_Click Count.6,Q79. True or False,Q80. True or False,Q81. Easy MC,Q82. Easy MC,Q83. Hard MC,Q84. Hard MC,Q85. True or False,Q86. True or False,Q87. Easy MC,Q88. Easy MC,Q89. Hard MC,Q90. Hard MC,Timer_First Click.7,Timer_Last Click.7,Timer_Page Submit.7,Timer_Click Count.7,Q91. True or False,Q92. True or False,Q93. Easy MC,Q94. Easy MC,Q95. Hard MC,Q96. Hard MC,Q97. True or False,Q98. True or False,Q99. Easy MC,Q100. Easy MC,Q101. Hard MC,Q102. Hard MC,Timer_First Click.8,Timer_Last Click.8,Timer_Page Submit.8,Timer_Click Count.8,Q103. True or False,Q104. True or False,Q105. Easy MC,Q106. Easy MC,Q107. Hard MC,Q108. Hard MC,Q109. True or False,Q110. True or False,Q111. Easy MC,Q112. Easy MC,Q113. Hard MC,Q114. Hard MC,Timer_First Click.9,Timer_Last Click.9,Timer_Page Submit.9,Timer_Click Count.9,Q115. True or False,Q116. True or False,Q117. Easy MC,Q118. Easy MC,Q119. Hard MC,Q120. Hard MC,SC0,SC1,participant_id,doc_type,file_stem
2025-09-10 08:51:45,2025-09-10 09:44:52,0,128.82.4.174,100,3186,1,2025-09-10 09:44:52,R_1XplpeiNh4dCmyt,,,,,36.8592,-76.2729,anonymous,EN,3,2,1,1,2,3,1,0.0,0.0,3.12,0,2,1,1,2,3,1,1,1,1,2,2,2,0.0,0.0,178.854,0,1,1,2,2,2,2,1,2,3,3,3,3,0.0,0.0,80.934,0,1,1,3,2,2,3,1,1,1,2,2,3,93.152,93.152,93.497,1,1,1,1,2,3,3,1,1,4,2,3,2,0.0,0.0,149.613,0,1,1,3,3,3,3,1,1,2,3,2,4,0,0,176.639,0,1,1,2,3,2,2,1,1,2,2,4,2,0,0,211.077,0,1,1,1,2,2,4,1,1,3,1,2,2,0.0,0.0,3.295,0,1,1,3,1,2,2,2,1,4,3,1,3,2.911,2.911,3.28,1,2,1,4,3,1,3,1,1,3,1,4,2,0.0,0.0,71.2,0,1,1,3,3,3,1,77,90,3,Tweet,c3
2025-09-10 10:14:55,2025-09-10 10:28:19,0,128.82.4.173,100,803,1,2025-09-10 10:28:21,R_5B2nI0JpXiLgJyy,,,,,36.8592,-76.2729,anonymous,EN,1,1,3,4,2,3,2,0.0,0.0,8.104,0,1,1,4,2,3,2,4,2,1,4,5,5,0.0,0.0,7.89,0,1,2,4,4,3,1,3,1,3,1,4,5,0.0,0.0,13.727,0,1,2,3,3,3,2,3,3,5,5,5,5,0.0,0.0,10.12,0,3,3,5,5,5,5,3,1,4,3,1,1,0.0,0.0,4.067,0,1,1,3,2,3,1,3,1,3,5,5,5,0,0,9.17,0,1,1,3,2,1,1,3,4,2,4,1,4,0,0,6.431,0,1,1,2,2,4,4,1,3,2,4,2,1,0.0,0.0,8.441,0,1,1,2,1,3,1,3,1,4,4,5,4,0.0,0.0,3.28,0,1,1,4,4,1,1,1,1,1,2,4,4,0.0,0.0,10.338,0,1,1,1,2,3,3,14,43,1,Tweet,c3
2025-09-16 12:55:56,2025-09-16 13:18:29,0,67.129.8.225,100,1353,1,2025-09-16 13:18:30,R_3QVNiS0y4t9bJy9,,,,,38.0321,-78.489,anonymous,EN,2,1,1,1,2,5,1,8.956,9.755,13.578,2,2,1,4,2,1,1,1,1,1,2,2,5,0.664,0.664,34.263,1,1,1,2,2,2,2,1,2,3,2,3,1,0.0,0.0,42.444,0,1,2,3,2,3,3,2,1,2,4,2,3,0.0,0.0,21.604,0,1,1,1,4,3,3,1,1,3,2,2,2,0.0,0.0,17.391,0,1,1,3,2,2,1,1,1,2,4,2,1,0,0,10.086,0,1,1,4,2,2,2,1,1,1,2,4,5,0,0,13.901,0,1,1,2,2,4,2,1,3,3,1,2,2,0.0,0.0,11.789,0,1,1,3,2,2,2,2,1,2,4,1,3,0.0,0.0,7.825,0,2,1,3,3,1,3,1,1,3,3,4,1,0.0,0.0,9.161,0,1,1,3,3,3,2,59,77,2,Tweet,c3
2025-09-17 12:27:01,2025-09-17 14:09:10,0,128.82.4.174,100,6128,1,2025-09-17 14:09:10,R_3qyDdCBuLRFwxA1,,,,,36.8882,-76.3002,anonymous,EN,4,3,1,5,5,3,5,10.765,11.085,15.871,2,3,1,5,5,3,5,4,1,5,2,5,5,0.0,0.0,9.774,0,4,1,5,2,5,5,1,3,5,5,5,5,0.0,0.0,27.861,0,1,1,5,2,5,5,3,3,5,5,5,5,0.0,0.0,13.494,0,1,3,5,5,3,5,3,3,5,5,5,5,0.0,0.0,16.224,0,3,1,3,5,5,5,3,3,2,5,5,5,0,0,11.169,0,3,3,2,3,5,5,3,2,5,5,5,5,0,0,21.371,0,3,2,5,5,5,4,3,3,5,5,5,5,0.0,0.0,9.305,0,1,3,5,5,5,5,3,1,5,3,1,3,0.0,0.0,4.471,0,2,1,5,3,1,3,3,3,5,5,5,5,6.241,7.136,8.899,2,3,3,5,5,5,5,19,33,4,Tweet,c3
2025-09-26 07:45:57,2025-09-26 08:56:27,0,128.82.4.174,100,4230,1,2025-09-26 08:56:28,R_5rxoVQtRNKxlmXc,,,,,36.8882,-76.3002,anonymous,EN,11,3,3,5,2,5,5,12.192,13.039,14.225,3,3,3,5,2,3,5,4,4,5,5,5,5,0.0,0.0,111.338,0,1,1,2,2,2,2,3,3,5,5,5,5,0.0,0.0,79.849,0,1,1,3,2,3,3,3,3,5,5,5,5,0.0,0.0,90.979,0,1,1,1,5,3,2,3,3,5,5,5,5,74.945,74.945,75.435,1,1,1,3,2,2,3,3,3,5,3,5,5,0,0,140.786,0,1,1,2,3,1,3,3,2,5,5,5,5,0,0,67.031,0,1,1,3,2,2,2,3,3,5,5,5,5,36.936,36.936,37.226,1,1,2,5,1,2,3,2,1,5,3,5,5,0.0,0.0,64.548,0,2,1,3,3,1,3,1,1,5,5,5,5,0.0,0.0,18.047,0,1,1,3,1,3,2,10,82,11,Tweet,c3
2025-09-26 07:49:38,2025-09-26 09:40:27,0,128.82.4.173,100,6648,1,2025-09-26 09:40:27,R_5eXXoNijJ2ZVWsg,,,,,36.8882,-76.3002,anonymous,EN,7,3,3,5,5,5,5,0.0,0.0,6.011,0,3,3,5,5,5,5,4,4,5,5,5,5,0.0,0.0,31.76,0,4,4,5,2,5,5,1,2,5,5,5,3,0.0,0.0,17.404,0,1,2,5,5,5,3,3,3,5,5,5,5,24.495,30.887,41.729,5,1,3,5,5,5,5,3,3,5,5,5,5,0.0,0.0,4.51,0,3,3,5,5,5,5,3,3,5,5,5,5,0,0,8.607,0,3,3,5,5,5,5,3,2,5,5,5,5,0,0,12.759,0,3,2,5,5,5,2,3,3,5,5,5,5,0.0,0.0,15.234,0,2,3,5,5,5,5,3,3,5,5,5,5,0.0,0.0,10.82,0,3,3,5,5,5,5,3,3,5,5,5,5,0.0,0.0,13.576,0,3,3,5,5,5,5,4,10,7,Tweet,c3
2025-10-09 10:06:36,2025-10-09 10:27:18,0,24.254.215.12,100,1242,1,2025-10-09 10:27:19,R_3gMPn4DtPRqmOC5,,,,,36.7969,-76.1797,anonymous,EN,5,3,3,5,5,5,5,0.0,0.0,75.843,0,3,3,5,5,5,5,4,4,5,5,5,5,0.0,0.0,39.433,0,4,4,5,5,5,5,3,3,5,5,5,5,0.0,0.0,37.53,0,1,3,5,5,5,5,3,3,5,5,5,5,0.0,0.0,61.166,0,3,3,5,5,3,5,3,3,5,5,5,5,0.0,0.0,44.328,0,3,1,5,2,5,5,3,3,5,5,5,5,0,0,12.873,0,3,3,5,3,5,5,3,2,5,5,5,5,0,0,50.703,0,3,2,5,5,5,5,3,3,5,5,5,5,0.0,0.0,21.213,0,1,3,5,5,5,5,3,1,5,5,1,5,0.0,0.0,37.76,0,3,1,5,5,5,5,3,3,5,5,5,5,0.0,0.0,14.257,0,3,1,5,5,5,5,4,12,5,Tweet,c3
2025-10-17 07:30:06,2025-10-17 09:53:56,0,128.82.4.173,100,8629,1,2025-10-17 09:53:57,R_5m2d61qUFzphIM0,,,,,36.8882,-76.3002,anonymous,EN,30,3,3,5,5,5,5,0.0,0.0,65.487,0,3,3,5,5,5,5,4,1,5,2,5,5,0.0,0.0,16.034,0,4,1,5,2,5,5,1,3,5,5,5,3,0.0,0.0,31.455,0,1,1,3,2,3,3,3,3,5,3,5,5,0.0,0.0,40.241,0,1,3,5,5,3,5,1,1,3,5,5,5,0.0,0.0,20.953,0,1,1,3,5,5,5,3,3,5,5,5,5,0,0,12.141,0,3,3,5,3,5,5,3,2,5,5,5,5,0,0,30.265,0,3,1,3,5,5,2,1,3,3,5,5,5,0.0,0.0,10.7,0,1,3,3,5,5,5,3,1,5,3,1,3,0.0,0.0,6.552,0,2,1,5,3,1,3,1,1,3,3,5,2,0.0,0.0,14.642,0,1,1,3,3,5,2,29,50,30,Tweet,c3
2025-10-31 07:15:04,2025-10-31 09:52:32,0,128.82.4.174,100,9447,1,2025-10-31 09:52:32,R_5Pbce4CCZXUjILE,,,,,36.8882,-76.3002,anonymous,EN,25,1,1,4,5,3,2,0.0,0.0,26.611,0,1,1,3,2,3,2,1,1,1,4,2,5,0.0,0.0,26.587,0,1,1,1,2,2,4,1,1,3,2,3,3,0.0,0.0,59.902,0,1,1,3,2,3,3,1,1,1,3,4,2,0.0,0.0,23.817,0,1,1,1,2,3,1,1,1,3,2,2,3,0.0,0.0,23.48,0,1,1,3,3,2,2,1,1,2,3,1,3,0,0,9.754,0,1,1,2,3,3,2,3,1,4,2,2,5,0,0,25.323,0,3,1,3,2,5,2,1,2,3,1,3,2,0.0,0.0,13.879,0,1,2,5,1,3,5,2,1,3,3,1,3,0.0,0.0,9.09,0,2,1,3,3,1,3,1,1,3,3,4,2,0.0,0.0,12.013,0,1,1,3,3,4,2,73,73,25,Tweet,c3
2025-11-19 07:30:52,2025-11-19 10:19:33,0,128.82.4.173,100,10121,1,2025-11-19 10:19:34,R_3iqdiDgfzpG1yiQ,,,,,36.8882,-76.3002,anonymous,EN,13,3,3,5,5,5,5,34.503,34.503,36.944,1,2,1,3,5,4,5,1,1,5,2,5,5,0.0,0.0,10.016,0,2,1,5,2,5,5,3,3,5,5,5,5,25.094,25.094,25.367,1,1,2,3,2,5,3,3,3,5,5,5,5,0.0,0.0,25.385,0,1,2,1,3,5,5,3,3,5,5,5,5,0.0,0.0,23.476,0,2,1,3,2,5,5,3,3,5,5,5,5,0,0,10.417,0,1,1,5,5,5,5,3,2,5,5,5,5,0,0,21.063,0,1,2,5,1,5,5,3,3,5,5,5,5,0.0,0.0,14.651,0,1,1,5,1,5,5,2,1,5,2,1,5,0.0,0.0,9.778,0,2,1,5,2,1,1,3,3,5,5,5,5,0.0,0.0,13.49,0,1,1,3,3,5,1,9,39,13,Tweet,c3
