qs_id,q_in_set,correct_option,score
1,1,2,1
1,2,1,1
1,3,2,2
1,4,2,2
1,5,2,3
1,6,2,3
2,1,2,1
2,2,1,1
2,3,2,2
2,4,1,2
2,5,2,3
2,6,1,3
3,1,1,1
3,2,1,1
3,3,2,2
3,4,2,2
3,5,1,3
3,6,2,3
4,1,1,1
4,2,1,1
4,3,2,2
4,4,3,2
4,5,2,3
4,6,2,3
5,1,1,1
5,2,1,1
5,3,2,2
5,4,2,2
5,5,2,3
5,6,2,3
6,1,2,1
6,2,1,1
6,3,2,2
6,4,2,2
6,5,1,3
6,6,1,3
7,1,1,1
7,2,2,1
7,3,3,2
7,4,3,2
7,5,2,3
7,6,2,3
8,1,1,1
8,2,1,1
8,3,2,2
8,4,2,2
8,5,2,3
8,6,1,3
9,1,1,1
9,2,2,1
9,3,2,2
9,4,2,2
9,5,2,3
9,6,1,3
10,1,1,1
10,2,1,1
10,3,2,2
10,4,2,2
10,5,2,3
10,6,1,3
11,1,1,1
11,2,2,1
11,3,3,2
11,4,2,2
11,5,3,3
11,6,3,3
12,1,1,1
12,2,2,1
12,3,2,2
12,4,1,2
12,5,2,3
12,6,2,3
13,1,2,1
13,2,1,1
13,3,3,2
13,4,2,2
13,5,3,3
13,6,2,3
14,1,2,1
14,2,1,1
14,3,3,2
14,4,3,2
14,5,3,3
14,6,2,3
15,1,1,1
15,2,2,1
15,3,2,2
15,4,2,2
15,5,3,3
15,6,3,3
16,1,2,1
16,2,2,1
16,3,3,2
16,4,3,2
16,5,2,3
16,6,3,3
17,1,1,1
17,2,1,1
17,3,3,2
17,4,3,2
17,5,3,3
17,6,2,3
18,1,2,1
18,2,1,1
18,3,3,2
18,4,2,2
18,5,2,3
18,6,3,3
19,1,1,1
19,2,2,1
19,3,2,2
19,4,3,2
19,5,3,3
19,6,2,3
20,1,1,1
20,2,1,1
20,3,2,2
20,4,2,2
20,5,2,3
20,6,2,3
21,1,2,1
21,2,1,1
21,3,3,2
21,4,2,2
21,5,3,3
21,6,3,3
22,1,1,1
22,2,1,1
22,3,2,2
22,4,2,2
22,5,2,3
22,6,2,3
23,1,1,1
23,2,1,1
23,3,3,2
23,4,2,2
23,5,3,3
23,6,3,3
24,1,1,1
24,2,1,1
24,3,1,2
24,4,2,2
24,5,3,3
24,6,3,3
25,1,1,1
25,2,1,1
25,3,3,2
25,4,2,2
25,5,3,3
25,6,3,3
26,1,2,1
26,2,1,1
26,3,2,2
26,4,3,2
26,5,2,3
26,6,3,3
27,1,2,1
27,2,1,1
27,3,3,2
27,4,3,2
27,5,2,3
27,6,2,3
28,1,1,1
28,2,1,1
28,3,3,2
28,4,1,2
28,5,3,3
28,6,2,3
29,1,2,1
29,2,1,1
29,3,2,2
29,4,3,2
29,5,1,3
29,6,3,3
30,1,1,1
30,2,1,1
30,3,2,2
30,4,3,2
30,5,3,3
30,6,3,3
