article-id,content-type,P_KG_-6,P_KG_-5,P_KG_-4,P_KG_-3,P_KG_-2,P_KG_-1,P_KG_0,P_KG_1,P_KG_2,P_KG_3,P_KG_4,P_KG_5,P_KG_6,Q_KG_-6,Q_KG_-5,Q_KG_-4,Q_KG_-3,Q_KG_-2,Q_KG_-1,Q_KG_0,Q_KG_1,Q_KG_2,Q_KG_3,Q_KG_4,Q_KG_5,Q_KG_6,P_total,Q_total,DKL_P_Q
9HiWPLptyKkfgKlcGOFN,abstract,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,9.95221505592882
9HiWPLptyKkfgKlcGOFN,news,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598956
9HiWPLptyKkfgKlcGOFN,tweet,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,5.238024991569931
AxlpuZPCfvhG5cIEfTz4,abstract,0,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,12.067628644986957
AxlpuZPCfvhG5cIEfTz4,news,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,12.865226203220482
AxlpuZPCfvhG5cIEfTz4,tweet,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.490082198251159
Eyj0MxAbkjh4kfzjrKhH,abstract,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.804092477746364
Eyj0MxAbkjh4kfzjrKhH,news,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598956
Eyj0MxAbkjh4kfzjrKhH,tweet,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.591187567651199
GCWCvCywH1xoN8rMQ45d,abstract,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,12.265670696575512
GCWCvCywH1xoN8rMQ45d,news,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,12.483317702243596
GCWCvCywH1xoN8rMQ45d,tweet,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.564831933074666
JXN3Oq6Up3XFr8ER4cPG,abstract,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,12.46371274816407
JXN3Oq6Up3XFr8ER4cPG,news,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,12.483317702243596
JXN3Oq6Up3XFr8ER4cPG,tweet,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,4.767191153569312
OLl0beFeVkl86z3B3IXF,abstract,0,0,0,0,0,1,1,0,1,0,0,3,1,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.36678988148611
OLl0beFeVkl86z3B3IXF,news,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,12.483317702243596
OLl0beFeVkl86z3B3IXF,tweet,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.36678988148611
QJ3BHOxTK0mav75xUFzT,abstract,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.573043417559715
QJ3BHOxTK0mav75xUFzT,news,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.573043417559715
QJ3BHOxTK0mav75xUFzT,tweet,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.688124249839717
bJg3NskdacdUNtGMa9n9,abstract,0,0,0,0,1,0,1,0,0,1,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.36678988148611
bJg3NskdacdUNtGMa9n9,news,0,0,0,0,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,10,10.875564172238835
bJg3NskdacdUNtGMa9n9,tweet,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,7.234386166792421
cNzSlxmYjwezAuM2kpxj,abstract,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,12.46371274816407
cNzSlxmYjwezAuM2kpxj,news,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,12.760576574467574
cNzSlxmYjwezAuM2kpxj,tweet,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,10.292040146662604
ftakhZTmzG5w1YRTI3Nu,abstract,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598958
ftakhZTmzG5w1YRTI3Nu,news,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.254786333412307
ftakhZTmzG5w1YRTI3Nu,tweet,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.318395781239136
lC7QpWOOoq9wpVsU7bpZ,abstract,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.573043417559717
lC7QpWOOoq9wpVsU7bpZ,news,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.716884453785605
lC7QpWOOoq9wpVsU7bpZ,tweet,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.5911875676512
v0YVYceNRELkSRiYJfMa,abstract,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,10.183264116115469
yiUuBIh24LNT5UKjzI83,abstract,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598956
yiUuBIh24LNT5UKjzI83,news,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,6,10,12.485835393598956
yiUuBIh24LNT5UKjzI83,tweet,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,10,8.591187567651199
