pair_index,article_id,system_a,system_b,n_votes,article_a_votes,article_b_votes,ours_votes,agentic_votes,mean_ours_win,human_majority
1,29733,news_0,news_2,5,4,1,4,1,0.8,Ours
2,29734,news_2,news_0,5,0,5,5,0,1.0,Ours
3,29739,news_0,news_2,5,4,1,4,1,0.8,Ours
4,29753,news_0,news_2,5,4,1,4,1,0.8,Ours
5,29775,news_2,news_0,5,1,4,4,1,0.8,Ours
6,29802,news_0,news_2,5,4,1,4,1,0.8,Ours
7,29846,news_0,news_2,5,5,0,5,0,1.0,Ours
8,29866,news_2,news_0,5,1,4,4,1,0.8,Ours
9,29873,news_2,news_0,5,1,4,4,1,0.8,Ours
11,29902,news_0,news_2,5,4,1,4,1,0.8,Ours
10,29929,news_2,news_0,5,1,4,4,1,0.8,Ours
12,29943,news_0,news_2,5,5,0,5,0,1.0,Ours
13,29958,news_0,news_2,5,5,0,5,0,1.0,Ours
14,29988,news_2,news_0,5,2,3,3,2,0.6,Ours
15,30052,news_0,news_2,5,4,1,4,1,0.8,Ours
16,30061,news_2,news_0,5,0,5,5,0,1.0,Ours
17,30086,news_2,news_0,5,0,5,5,0,1.0,Ours
18,30184,news_0,news_2,5,4,1,4,1,0.8,Ours
19,30214,news_2,news_0,5,0,5,5,0,1.0,Ours
20,30708,news_0,news_2,5,5,0,5,0,1.0,Ours
