respondent,system,dimension,score
R_52yXsfGtzLV9o7z,Agentic,Accuracy,3.2
R_52yXsfGtzLV9o7z,Agentic,Clarity,4.1
R_52yXsfGtzLV9o7z,Agentic,Completeness,4.4
R_52yXsfGtzLV9o7z,Agentic,Relevance,4.1
R_52yXsfGtzLV9o7z,Ours,Accuracy,4.6
R_52yXsfGtzLV9o7z,Ours,Clarity,3.7
R_52yXsfGtzLV9o7z,Ours,Completeness,4.4
R_52yXsfGtzLV9o7z,Ours,Relevance,4.4
R_6v1eftEimrOVx7L,Agentic,Accuracy,4.1
R_6v1eftEimrOVx7L,Agentic,Clarity,4.0
R_6v1eftEimrOVx7L,Agentic,Completeness,4.4
R_6v1eftEimrOVx7L,Agentic,Relevance,4.6
R_6v1eftEimrOVx7L,Ours,Accuracy,3.9
R_6v1eftEimrOVx7L,Ours,Clarity,3.6
R_6v1eftEimrOVx7L,Ours,Completeness,4.5
R_6v1eftEimrOVx7L,Ours,Relevance,4.2
R_7IrC3IDN1ZGMngl,Agentic,Accuracy,2.6
R_7IrC3IDN1ZGMngl,Agentic,Clarity,3.2
R_7IrC3IDN1ZGMngl,Agentic,Completeness,3.5
R_7IrC3IDN1ZGMngl,Agentic,Relevance,3.3
R_7IrC3IDN1ZGMngl,Ours,Accuracy,4.4
R_7IrC3IDN1ZGMngl,Ours,Clarity,4.0
R_7IrC3IDN1ZGMngl,Ours,Completeness,4.555555555555555
R_7IrC3IDN1ZGMngl,Ours,Relevance,4.2
R_7SDA11niHffsGX3,Agentic,Accuracy,3.5
R_7SDA11niHffsGX3,Agentic,Clarity,4.7
R_7SDA11niHffsGX3,Agentic,Completeness,4.6
R_7SDA11niHffsGX3,Agentic,Relevance,4.9
R_7SDA11niHffsGX3,Ours,Accuracy,4.1
R_7SDA11niHffsGX3,Ours,Clarity,4.6
R_7SDA11niHffsGX3,Ours,Completeness,4.6
R_7SDA11niHffsGX3,Ours,Relevance,4.7
R_7m7YkM7ZvNsoSMb,Agentic,Accuracy,3.3
R_7m7YkM7ZvNsoSMb,Agentic,Clarity,4.3
R_7m7YkM7ZvNsoSMb,Agentic,Completeness,4.6
R_7m7YkM7ZvNsoSMb,Agentic,Relevance,4.8
R_7m7YkM7ZvNsoSMb,Ours,Accuracy,4.2
R_7m7YkM7ZvNsoSMb,Ours,Clarity,4.5
R_7m7YkM7ZvNsoSMb,Ours,Completeness,4.8
R_7m7YkM7ZvNsoSMb,Ours,Relevance,5.0
