index,system,dimension,count,mean,std,tcrit,ci95,paired_p
0,Agentic,Accuracy,5,3.34,0.5412947441089742,2.7764451051977987,0.6721061961770336,0.05879929626748606
1,Agentic,Clarity,5,4.0600000000000005,0.5504543577809153,2.7764451051977987,0.6834793587109379,0.9332949349041745
2,Agentic,Completeness,5,4.3,0.4582575694955838,2.7764451051977987,0.569001925947027,0.24590798129481295
3,Agentic,Relevance,5,4.34,0.6580273550544842,2.7764451051977987,0.8170488766044002,0.5161869943521881
4,Ours,Accuracy,5,4.24,0.270185121722126,2.7764451051977987,0.3354791384926663,0.05879929626748606
5,Ours,Clarity,5,4.08,0.45497252664309273,2.7764451051977987,0.5649230065045322,0.9332949349041745
6,Ours,Completeness,5,4.571111111111111,0.1481574071180737,2.7764451051977987,0.18396171848573056,0.24590798129481295
7,Ours,Relevance,5,4.5,0.346410161513775,2.7764451051977987,0.4301250261636064,0.5161869943521881
0,Agentic,Mean,5,4.01,0.5106980516900373,2.7764451051977987,0.6341153847363256,0.21022882644816582
1,Ours,Mean,5,4.346410256410256,0.22265589874045236,2.7764451051977987,0.276463813453723,0.21022882644816582
