category,article_key,pre_acc_mean,pre_acc_sd,pre_acc_se,pre_acc_ci95,pre_acc_n,post_acc_mean,post_acc_sd,post_acc_se,post_acc_ci95,post_acc_n,kgain_mean,kgain_sd,kgain_se,kgain_ci95,kgain_n,normalized_gain_mean,normalized_gain_sd,normalized_gain_se,normalized_gain_ci95,normalized_gain_n
Health,news_0,0.5173611111111112,0.333757856148111,0.04817379702281607,0.0944206421647195,48,0.8854166666666666,0.18243250638343703,0.026331864167353874,0.05161045376801359,48,0.3680555555555556,0.33148126136351325,0.047845198869885266,0.09377658978497512,48,0.7300813008130081,0.4377375468149825,0.06836311940598563,0.13399171403573185,41
Health,news_2,0.49652777777777773,0.3006879097505152,0.04340056140913146,0.08506510036189767,48,0.8819444444444443,0.17516737464795193,0.02528323272655877,0.04955513614405519,48,0.3854166666666667,0.30394616995724505,0.04387085076099279,0.08598686749154587,48,0.7453488372093025,0.3462445075566773,0.052801792387910024,0.10349151308030365,43
Humans,news_0,0.3958333333333333,0.3431618383231502,0.049531144932869406,0.09708104406842404,48,0.875,0.1835427559518799,0.026492114889155916,0.05192454518274559,48,0.4791666666666667,0.32909540031108026,0.04750082948966746,0.09310162579974822,48,0.7768939393939394,0.38450639368431877,0.057966519879252935,0.11361437896333575,44
Humans,news_2,0.3958333333333333,0.33620219346937197,0.04852660672542114,0.09511214918182544,48,0.826388888888889,0.2145927291431451,0.030973792484232817,0.06070863326909632,48,0.4305555555555555,0.3469443332443554,0.05007710104811096,0.09815111805429748,48,0.637037037037037,0.7690336393787155,0.11464076630899113,0.2246959019656226,45
Nature,news_0,0.37152777777777773,0.2982208538968654,0.04304447256882883,0.0843671662349045,48,0.8194444444444443,0.19700275805791936,0.028434898848959618,0.05573240174396085,48,0.4479166666666667,0.3116270312719764,0.04497948759790987,0.08815979569190335,48,0.6666666666666667,0.3534835459875758,0.052118305488977716,0.10215187875839632,46
Nature,news_2,0.3263888888888889,0.3150262350389335,0.04547012040038065,0.08912143598474608,48,0.8090277777777778,0.20044154372471948,0.028931244806562735,0.05670523982086296,48,0.48263888888888884,0.3265978783655465,0.04714034324777723,0.09239507276564338,48,0.7022727272727273,0.2825820159257994,0.0426008417876414,0.08349764990377713,44
Physics,news_0,0.3411458333333333,0.3568795877091555,0.04460994846364444,0.0874354989887431,64,0.8880208333333333,0.148640777338625,0.018580097167328124,0.03641699044796312,64,0.546875,0.36787768987666913,0.04598471123458364,0.09013003401978394,64,0.8290229885057471,0.25866203093203094,0.0339639885979362,0.06656941765195495,58
Physics,news_2,0.29166666666666663,0.3225778005222472,0.0403222250652809,0.07903156112795057,64,0.8463541666666667,0.19314688943773053,0.024143361179716317,0.04732098791224398,64,0.5546875,0.33734972812388,0.042168716015485,0.08265068339035059,64,0.7721311475409837,0.3352130515374791,0.04291963323164388,0.08412248113402201,61
Space,news_0,0.36111111111111116,0.29840659058038993,0.04307128134988664,0.08441971144577783,48,0.8611111111111112,0.19245008972987523,0.027777777777777776,0.05444444444444444,48,0.5,0.31883357153175923,0.046019662087637754,0.09019853769177,48,0.7572463768115942,0.33193507051223664,0.04894115611273788,0.09592466598096624,46
Space,news_2,0.42013888888888884,0.29573321816768766,0.0426854132793572,0.08366341002754012,48,0.8506944444444443,0.17272528145190522,0.02493074693552784,0.04886426399363456,48,0.4305555555555555,0.30910787006304025,0.04461587799738204,0.0874471208748688,48,0.6847826086956522,0.4155886214853641,0.06127519930751919,0.12009939064273761,46
Tech,news_0,0.5442708333333333,0.3591119110228008,0.0448889888778501,0.0879824182005862,64,0.9375,0.1469861839480328,0.0183732729935041,0.036011615067268035,64,0.39322916666666663,0.3555644685142784,0.0444455585642848,0.0871132947859982,64,0.8733974358974359,0.2590888092157486,0.03592915332793418,0.07042114052275099,52
Tech,news_2,0.5260416666666666,0.37115904784971293,0.046394880981214116,0.09093396672317966,64,0.9036458333333333,0.15084911782707364,0.018856139728384205,0.03695803386763304,64,0.37760416666666663,0.3735550497857827,0.046694381223222836,0.09152098719751675,64,0.75,0.34256815552013964,0.04750565577188407,0.09311108531289278,52
