group,student_id,source_response_id,prolific_id,order,article_id,set,category,article_key,article_version_label,pre_acc,post_acc,kgain,pre_idk_rate,post_idk_rate,learned_from_idk_n,corrected_misconception_n,lost_correct_n,n_questions,normalized_gain
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,1,29733,B,Health,news_2,news_2b,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,4,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,2,29734,B,Space,news_2,news_2b,0.16666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.0,5,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,3,29739,A,Health,news_0,news_0a,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,4,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,4,29753,B,Health,news_2,news_2b,0.16666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.16666666666666666,3,0,0,6,0.6
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,5,29775,A,Tech,news_0,news_0a,0.8333333333333334,1.0,0.16666666666666666,0.16666666666666666,0.0,1,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,6,29802,A,Humans,news_0,news_0a,0.5,1.0,0.5,0.5,0.0,3,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,7,29846,B,Nature,news_2,news_2b,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.0,5,0,1,6,0.8
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,8,29866,A,Nature,news_0,news_0a,0.0,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,5,0,0,6,0.8333333333333334
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,9,29873,A,Humans,news_0,news_0a,0.0,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,5,0,0,6,0.8333333333333334
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,10,29902,A,Nature,news_0,news_0a,0.0,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,5,0,0,6,0.8333333333333334
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,11,29929,A,Physics,news_0,news_0a,0.0,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,5,0,0,6,0.8333333333333334
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,12,29943,B,Tech,news_2,news_2b,0.0,1.0,1.0,1.0,0.0,6,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,13,29958,B,Physics,news_2,news_2b,0.0,1.0,1.0,1.0,0.0,6,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,14,29988,B,Humans,news_2,news_2b,0.0,1.0,1.0,1.0,0.0,6,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,15,30052,A,Physics,news_0,news_0a,0.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,4,0,0,6,0.6666666666666666
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,16,30061,B,Physics,news_2,news_2b,0.0,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,5,0,0,6,0.8333333333333334
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,17,30086,A,Space,news_0,news_0a,0.0,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,5,0,0,6,0.8333333333333334
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,18,30184,A,Tech,news_0,news_0a,0.0,1.0,1.0,1.0,0.0,6,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,19,30214,B,Space,news_2,news_2b,0.16666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.0,5,0,0,6,1.0
G3a,1,R_99hQmQxsrq5Hjzv,6981824afeedd525121adce4,20,30708,B,Tech,news_2,news_2b,1.0,1.0,0.0,0.0,0.0,0,0,0,6,
G3a,2,R_8Pnqs32AVqSm8NX,69fb5be2a3693397c908b13e,1,29733,B,Health,news_2,news_2b,0.3333333333333333,1.0,0.6666666666666666,0.5,0.0,3,1,0,6,1.0
G3a,2,R_8Pnqs32AVqSm8NX,69fb5be2a3693397c908b13e,2,29734,B,Space,news_2,news_2b,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.0,4,0,0,6,1.0
G3a,2,R_8Pnqs32AVqSm8NX,69fb5be2a3693397c908b13e,3,29739,A,Health,news_0,news_0a,0.8333333333333334,1.0,0.16666666666666666,0.16666666666666666,0.0,1,0,0,6,1.0
G3a,2,R_8Pnqs32AVqSm8NX,69fb5be2a3693397c908b13e,4,29753,B,Health,news_2,news_2b,0.5,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,2,0,0,6,0.6666666666666667
G3a,2,R_8Pnqs32AVqSm8NX,69fb5be2a3693397c908b13e,5,29775,A,Tech,news_0,news_0a,0.8333333333333334,1.0,0.16666666666666666,0.16666666666666666,0.0,1,0,0,6,1.0
