article_id,article_key,rouge1,rouge2,rougeL,bleu,bertscore,llmsim_pre_acc,llmsim_post_acc,llmsim_n,llmsim_kgain,llmsim_norm_kgain,llm_judge_accuracy,llm_judge_completeness,llm_judge_relevance,llm_judge_clarity,llm_judge_expected_kgain,llm_judge_mean_score,human_pre_acc,human_post_acc,human_kgain,human_norm_kgain,human_n
29733,news_0,0.6015200868621063,0.43307943416757344,0.47774158523344196,0.28002469293315657,0.9011937379837036,0.2,0.5555555555555556,90,0.35555555555555557,0.4444444444444444,4,4,4,4,5,4.2,0.5833333333333334,0.9166666666666666,0.3333333333333333,0.8027777777777777,16
29734,news_0,0.32075471698113206,0.14324324324324325,0.18598382749326148,0.0734590938520379,0.8539845943450928,0.2,0.6,90,0.39999999999999997,0.49999999999999994,3,4,4,4,5,4.0,0.35416666666666663,0.8541666666666667,0.5,0.6788888888888889,16
29739,news_0,0.4855491329479769,0.19710144927536233,0.2485549132947977,0.11714336141288433,0.896571159362793,0.4,0.6444444444444445,90,0.24444444444444446,0.40740740740740744,4,4,5,5,5,4.6,0.6145833333333334,0.8958333333333334,0.28125,0.7076923076923076,16
29753,news_0,0.7447595561035758,0.5290482076637824,0.5178791615289766,0.47651687470186366,0.9324625134468079,0.12222222222222222,0.3333333333333333,90,0.21111111111111108,0.24050632911392403,5,4,4,5,5,4.6,0.35416666666666663,0.84375,0.4895833333333333,0.69375,16
29775,news_0,0.4633781763826607,0.15592203898050974,0.25112107623318386,0.0756753046074757,0.8793448209762573,0.37777777777777777,0.5888888888888889,90,0.21111111111111114,0.3392857142857143,4,4,4,4,5,4.2,0.71875,0.9375,0.21875,0.8863636363636364,16
29802,news_0,0.5531197301854975,0.3282571912013536,0.3406408094435076,0.1969249068311878,0.9019596576690674,0.24444444444444444,0.5555555555555556,90,0.3111111111111111,0.411764705882353,4,4,4,4,5,4.2,0.5833333333333334,0.9270833333333334,0.34375,0.8794871794871795,16
29846,news_0,0.31968810916179335,0.14481409001956946,0.19883040935672514,0.0670862612142221,0.87493497133255,0.4222222222222222,0.6,90,0.17777777777777776,0.3076923076923077,3,4,4,3,5,3.8,0.5,0.7395833333333334,0.23958333333333331,0.3895833333333334,16
29866,news_0,0.5961995249406176,0.27619047619047615,0.2517814726840855,0.1996720257316643,0.8683964610099792,0.23333333333333334,0.5,90,0.26666666666666666,0.3478260869565218,4,3,4,4,5,4.0,0.3333333333333333,0.8854166666666667,0.5520833333333334,0.8466666666666668,16
29873,news_0,0.7081807081807082,0.5042839657282742,0.5323565323565322,0.3660706451019075,0.9247094988822937,0.28888888888888886,0.5111111111111111,90,0.2222222222222222,0.31249999999999994,3,4,4,4,5,4.0,0.28125,0.8333333333333334,0.5520833333333334,0.7916666666666667,16
29902,news_0,0.521505376344086,0.2641509433962264,0.37096774193548393,0.1282754517190064,0.8700692057609558,0.14444444444444443,0.4888888888888889,90,0.34444444444444444,0.40259740259740256,4,4,4,4,5,4.2,0.28125,0.8333333333333334,0.5520833333333334,0.7822222222222223,16
29929,news_0,0.5275142314990513,0.3352380952380952,0.4022770398481974,0.2096487678655641,0.8882655501365662,0.1,0.45555555555555555,90,0.3555555555555555,0.39506172839506165,4,3,4,4,5,4.0,0.32291666666666663,0.875,0.5520833333333333,0.8135416666666666,16
29943,news_0,0.6035182679296347,0.39891451831750335,0.4682002706359946,0.28197159940621536,0.9020979404449463,0.18888888888888888,0.5,90,0.3111111111111111,0.3835616438356164,4,4,4,4,5,4.2,0.3125,0.875,0.5625,0.8095238095238095,16
29958,news_0,0.3192488262910798,0.2122641509433962,0.24413145539906106,0.08725975461779535,0.8857819437980652,0.3,0.5666666666666667,90,0.26666666666666666,0.380952380952381,3,4,4,4,4,3.8,0.3125,0.8645833333333334,0.5520833333333334,0.8435897435897436,16
29988,news_0,0.42677824267782427,0.2909090909090909,0.298465829846583,0.15874550411996308,0.8878801465034485,0.2777777777777778,0.5,90,0.2222222222222222,0.30769230769230765,4,4,4,4,5,4.2,0.3229166666666667,0.8645833333333334,0.5416666666666666,0.6722222222222222,16
30052,news_0,0.49423393739703453,0.2644628099173553,0.2800658978583196,0.1538524555506589,0.871512770652771,0.022222222222222223,0.5777777777777777,90,0.5555555555555555,0.5681818181818181,4,4,4,4,5,4.2,0.4479166666666667,0.9166666666666667,0.46875,0.8777777777777778,16
30061,news_0,0.5436893203883495,0.2573099415204679,0.3067961165048544,0.10770242160771003,0.8904423713684082,0.2222222222222222,0.5333333333333333,90,0.3111111111111111,0.4,3,3,4,4,5,3.8,0.28125,0.8958333333333334,0.6145833333333334,0.780952380952381,16
30086,news_0,0.43740573152337864,0.19364599092284418,0.22021116138763197,0.0704160094160904,0.8728044033050537,0.2,0.5555555555555556,90,0.35555555555555557,0.4444444444444444,3,4,4,4,5,4.0,0.3958333333333333,0.8333333333333334,0.4375,0.7927083333333333,16
30184,news_0,0.6055045871559632,0.3870967741935484,0.4541284403669725,0.22721523405310984,0.9173459410667419,0.43333333333333335,0.5444444444444444,90,0.11111111111111105,0.1960784313725489,3,4,4,4,5,4.0,0.4791666666666667,0.9791666666666667,0.5,0.9555555555555556,16
30214,news_0,0.5945241199478487,0.3973856209150327,0.4406779661016949,0.2633430327893297,0.9169154167175293,0.23333333333333334,0.6333333333333333,90,0.39999999999999997,0.5217391304347826,5,5,5,5,5,5.0,0.3333333333333333,0.8958333333333334,0.5625,0.7977777777777778,16
30708,news_0,0.42009132420091316,0.2442748091603053,0.2922374429223744,0.1308623115648813,0.8862178921699524,0.28888888888888886,0.4666666666666667,90,0.1777777777777778,0.25000000000000006,4,4,4,4,5,4.2,0.6666666666666666,0.9583333333333334,0.29166666666666663,0.8333333333333334,16
29733,news_2,0.6113116726835138,0.3498190591073582,0.3874849578820698,0.20233914565909372,0.8928249478340149,0.25555555555555554,0.5111111111111111,90,0.25555555555555554,0.34328358208955223,3,4,4,4,5,4.0,0.5416666666666666,0.9166666666666667,0.375,0.7730769230769231,16
29734,news_2,0.38699186991869916,0.1468189233278956,0.2178861788617886,0.060404925880569206,0.85543292760849,0.15555555555555556,0.4888888888888889,90,0.3333333333333333,0.39473684210526316,3,4,3,4,5,3.8,0.46875,0.8958333333333334,0.4270833333333333,0.78125,16
29739,news_2,0.44475920679886694,0.17045454545454544,0.25212464589235123,0.09310260164340711,0.8836797475814819,0.4111111111111111,0.6444444444444445,90,0.2333333333333334,0.3962264150943397,2,4,3,4,5,3.6,0.53125,0.8958333333333334,0.3645833333333333,0.8071428571428572,16
29753,news_2,0.6990801576872537,0.4031620553359684,0.4441524310118265,0.3473629430853129,0.9153343439102173,0.16666666666666666,0.4222222222222222,90,0.25555555555555554,0.30666666666666664,3,4,4,4,5,4.0,0.41666666666666663,0.8333333333333334,0.41666666666666663,0.66875,16
29775,news_2,0.4649572649572649,0.15437392795883362,0.252991452991453,0.0646671096198127,0.8726528286933899,0.4,0.6555555555555556,90,0.25555555555555554,0.42592592592592593,4,4,4,5,5,4.4,0.6666666666666666,0.9375,0.2708333333333333,0.79,16
29802,news_2,0.46056782334384866,0.1835443037974684,0.27129337539432175,0.08920875553833048,0.879567563533783,0.32222222222222224,0.5777777777777777,90,0.2555555555555555,0.3770491803278687,3,4,4,4,5,4.0,0.4791666666666667,0.8958333333333334,0.41666666666666663,0.546153846153846,16
29846,news_2,0.30798479087452474,0.11450381679389311,0.1444866920152091,0.034296058999077166,0.8697986602783203,0.35555555555555557,0.4888888888888889,90,0.1333333333333333,0.2068965517241379,2,4,3,4,4,3.4,0.3958333333333333,0.8020833333333334,0.40624999999999994,0.6354166666666666,16
29866,news_2,0.5561097256857855,0.2225,0.286783042394015,0.14257740381158102,0.8613921403884888,0.24444444444444444,0.5555555555555556,90,0.3111111111111111,0.411764705882353,2,4,3,4,4,3.4,0.34375,0.8125,0.46875,0.75,16
29873,news_2,0.556149732620321,0.19571045576407506,0.3208556149732621,0.1214412593933916,0.8953558802604675,0.3,0.4444444444444444,90,0.14444444444444443,0.20634920634920634,3,4,4,4,5,4.0,0.26041666666666663,0.78125,0.5208333333333334,0.6708333333333333,16
29902,news_2,0.5263157894736842,0.2391304347826087,0.3622291021671827,0.11561667299950348,0.8862053155899048,0.14444444444444443,0.4666666666666667,90,0.32222222222222224,0.37662337662337664,3,4,4,4,4,3.8,0.23958333333333331,0.8125,0.5729166666666666,0.730952380952381,16
29929,news_2,0.45996592844974454,0.19145299145299144,0.24872231686541738,0.06518500073189953,0.862217128276825,0.08888888888888889,0.4888888888888889,90,0.39999999999999997,0.4390243902439024,3,4,4,4,5,4.0,0.1875,0.7604166666666666,0.5729166666666666,0.6583333333333333,16
29943,news_2,0.5338983050847458,0.20963172804532582,0.3135593220338983,0.11681675313594346,0.8773298263549805,0.15555555555555556,0.5111111111111111,90,0.3555555555555555,0.42105263157894735,3,4,4,4,4,3.8,0.40625,0.875,0.46875,0.7125,16
29958,news_2,0.2591876208897485,0.1436893203883495,0.16634429400386846,0.04740978439493155,0.8691438436508179,0.3,0.4777777777777778,90,0.1777777777777778,0.253968253968254,2,4,3,4,4,3.4,0.4166666666666667,0.9375,0.5208333333333334,0.9111111111111111,16
29988,news_2,0.4345146379044684,0.1885625965996909,0.2773497688751926,0.07787064942935883,0.8704524040222168,0.24444444444444444,0.5222222222222223,90,0.2777777777777778,0.36764705882352944,3,4,4,4,5,4.0,0.44791666666666663,0.8020833333333334,0.35416666666666663,0.6770833333333333,16
30052,news_2,0.44444444444444436,0.17197452229299362,0.21587301587301588,0.06489197324484074,0.8601709008216858,0.03333333333333333,0.4777777777777778,90,0.4444444444444445,0.4597701149425288,3,4,4,4,5,4.0,0.1875,0.84375,0.65625,0.7444444444444446,16
30061,news_2,0.4230118443316413,0.13582342954159593,0.21996615905245348,0.019348295983327123,0.8662505149841309,0.14444444444444443,0.4222222222222222,90,0.2777777777777778,0.3246753246753247,3,3,4,4,5,3.8,0.375,0.84375,0.46875,0.7822222222222222,16
30086,news_2,0.41612903225806447,0.16828478964401294,0.2161290322580645,0.05532781284302407,0.8662698864936829,0.17777777777777778,0.43333333333333335,90,0.25555555555555554,0.3108108108108108,2,4,3,4,4,3.4,0.2708333333333333,0.8229166666666666,0.5520833333333334,0.6104166666666666,16
30184,news_2,0.43165467625899273,0.19133574007220217,0.2446043165467626,0.06652637534577785,0.8842015862464905,0.34444444444444444,0.4777777777777778,90,0.13333333333333336,0.20338983050847462,2,4,3,4,5,3.6,0.32291666666666663,0.9375,0.6145833333333334,0.9038461538461539,16
30214,news_2,0.5227272727272727,0.22507122507122507,0.2926136363636364,0.09171514401348749,0.8850526809692383,0.3,0.43333333333333335,90,0.13333333333333336,0.19047619047619052,3,4,4,4,5,4.0,0.5208333333333333,0.8333333333333334,0.3125,0.6595238095238096,16
30708,news_2,0.38079470198675497,0.09966777408637875,0.1986754966887417,0.03598151124243491,0.859232485294342,0.34444444444444444,0.4666666666666667,90,0.12222222222222223,0.1864406779661017,2,3,3,4,4,3.2,0.7083333333333334,0.8645833333333334,0.15624999999999997,0.6115384615384616,16
