Metric,Signal,Target,Method,corr,ci_low,ci_high,n_points,n_topics,n_boot_eff
ROUGE-1,Unigram source overlap,LLMSim norm. KGain,spearman,0.09785158125434769,-0.2722793378917344,0.45630901381740585,40,20,10000
ROUGE-1,Unigram source overlap,LLMSim norm. KGain,kendall,0.0641849052593115,-0.20066617784488205,0.3296170416562952,40,20,10000
ROUGE-1,Unigram source overlap,Human norm. KGain,spearman,0.17692307692307696,-0.20351596177863554,0.5399719045196114,40,20,10000
ROUGE-1,Unigram source overlap,Human norm. KGain,kendall,0.12051282051282051,-0.15303430079155672,0.38481675392670156,40,20,10000
ROUGE-2,Bigram source overlap,LLMSim norm. KGain,spearman,0.0780561031674183,-0.24901694502463464,0.4012817035424122,40,20,10000
ROUGE-2,Bigram source overlap,LLMSim norm. KGain,kendall,0.046213131786704276,-0.19633771974336706,0.29473790017920054,40,20,10000
ROUGE-2,Bigram source overlap,Human norm. KGain,spearman,0.2956848030018762,-0.059478107744603326,0.6188393429461582,40,20,10000
ROUGE-2,Bigram source overlap,Human norm. KGain,kendall,0.2076923076923077,-0.034031413612565446,0.4493535852445426,40,20,10000
ROUGE-L,Longest-sequence source overlap,LLMSim norm. KGain,spearman,0.02542452398842591,-0.3003896676512879,0.37703283215112277,40,20,10000
ROUGE-L,Longest-sequence source overlap,LLMSim norm. KGain,kendall,0.017971773472607224,-0.2222222222222222,0.2797577773065751,40,20,10000
ROUGE-L,Longest-sequence source overlap,Human norm. KGain,spearman,0.20544090056285183,-0.16450917466060108,0.5438593048296314,40,20,10000
ROUGE-L,Longest-sequence source overlap,Human norm. KGain,kendall,0.13846153846153847,-0.11811023622047245,0.38359788359788355,40,20,10000
BLEU,N-gram precision vs. source,LLMSim norm. KGain,spearman,0.07571066737512808,-0.2457353008397498,0.39345261756803906,40,20,10000
BLEU,N-gram precision vs. source,LLMSim norm. KGain,kendall,0.06161750904893904,-0.1639849961245315,0.29100531646360145,40,20,10000
BLEU,N-gram precision vs. source,Human norm. KGain,spearman,0.2671669793621013,-0.09534934353974252,0.5915047245252494,40,20,10000
BLEU,N-gram precision vs. source,Human norm. KGain,kendall,0.16666666666666669,-0.08421052631578947,0.4058375046347793,40,20,10000
BERTScore,Semantic source similarity,LLMSim norm. KGain,spearman,-0.17525096239992474,-0.4902233545510711,0.2095591671270103,40,20,10000
BERTScore,Semantic source similarity,LLMSim norm. KGain,kendall,-0.12066762188750563,-0.3602709541014289,0.16295102318347618,40,20,10000
BERTScore,Semantic source similarity,Human norm. KGain,spearman,0.23245778611632273,-0.06582721319695377,0.4998118266761715,40,20,10000
BERTScore,Semantic source similarity,Human norm. KGain,kendall,0.14871794871794874,-0.04986876640419948,0.34464751958224543,40,20,10000
LLM judge accuracy,Factual faithfulness,LLMSim norm. KGain,spearman,0.3245763025292328,0.02727225781266275,0.5637116733244267,40,20,10000
LLM judge accuracy,Factual faithfulness,LLMSim norm. KGain,kendall,0.25602297763105786,0.01931304831154738,0.45928631459950175,40,20,10000
LLM judge accuracy,Factual faithfulness,Human norm. KGain,spearman,0.29097911684002276,-0.09142366605512224,0.6652156921623282,40,20,10000
LLM judge accuracy,Factual faithfulness,Human norm. KGain,kendall,0.24000775124054657,-0.05501890976695858,0.5436542643715787,40,20,10000
LLM judge completeness,Content coverage,LLMSim norm. KGain,spearman,0.1954165902909015,-0.07227597841063053,0.46014572692012906,40,20,9963
LLM judge completeness,Content coverage,LLMSim norm. KGain,kendall,0.16119457260563227,-0.06094819455210641,0.38695424662240263,40,20,9963
LLM judge completeness,Content coverage,Human norm. KGain,spearman,-0.01574083562935881,-0.31594962860379233,0.28779023261454556,40,20,9963
LLM judge completeness,Content coverage,Human norm. KGain,kendall,-0.012383675404067696,-0.26168959459229096,0.23764792404815166,40,20,9963
LLM judge relevance,Topical usefulness,LLMSim norm. KGain,spearman,0.34571924726989084,0.10840931098219633,0.5399228116952146,40,20,9999
LLM judge relevance,Topical usefulness,LLMSim norm. KGain,kendall,0.28437130621240203,0.08855267437318548,0.45433582591331445,40,20,9999
LLM judge relevance,Topical usefulness,Human norm. KGain,spearman,0.03304085253455382,-0.2869182521761139,0.3733112442667648,40,20,9999
LLM judge relevance,Topical usefulness,Human norm. KGain,kendall,0.028199226315922536,-0.23333998816533202,0.3078118485778649,40,20,9999
